"","country","year","ind_code","VA","COMP","GOS","NOS","TOP","employed_hrs","self_employed_hrs"
"1","Australia",1990,"VA0",13190,4004,9157,2218,29,323.2347,613.7318
"2","Australia",1991,"VA0",12899,3770,9103,2083,27,285.0746,552.9526
"3","Australia",1992,"VA0",14471,3853,10591,3623,28,269.9965,559.821
"4","Australia",1993,"VA0",15599,4125,11444,4325,30,303.5097,577.1366
"5","Australia",1994,"VA0",14944,4506,10393,3111,45,283.407,552.1259
"6","Australia",1995,"VA0",17897,4570,13254,6971,73,310.8311,523.7854
"7","Australia",1996,"VA0",18010,5119,12801,6552,90,338.6435,577.9684
"8","Australia",1997,"VA0",17872,5118,12663,5118,91,383.3284,538.5669
"9","Australia",1998,"VA0",18985,5668,13120,5690,197,413.3851,514.1295
"10","Australia",1999,"VA0",20622,5812,14498,6818,312,401.1159,532.9714
"11","Australia",2000,"VA0",24701,6336,17974,9769,391,450.4269,491.9176
"12","Australia",2001,"VA0",29778,6372,22938,14366,468,422.0847,496.2475
"13","Australia",2002,"VA0",23136,6141,16540,8110,455,413.2488,401.0425
"14","Australia",2003,"VA0",26366,6451,19413,10902,502,371.661,385.4815
"15","Australia",2004,"VA0",26595,6713,19327,10511,555,374.1238,382.9176
"16","Australia",2005,"VA0",27170,6585,20036,10848,549,346.1916,353.6225
"17","Australia",2006,"VA0",23917,6750,16709,7242,458,354.9745,378.3866
"18","Australia",2007,"VA0",27533,7138,19904,9405,491,394.1332,403.265
"19","Australia",2008,"VA0",28879,7055,21252,10813,572,367.2935,395.3807
"20","Australia",2009,"VA0",28595,6644,21448,10633,503,411.841,368.2172
"21","Australia",2010,"VA0",32250,7027,24600,13764,623,407.853,282.2198
"22","Australia",2011,"VA0",33809,7278,25774,14739,757,470.0345,285.0125
"23","Australia",2012,"VA0",35011,7387,26860,15688,764,369.9257,290.7106
"24","Australia",2013,"VA0",35427,7793,26846,15347,788,390.8454,316.2381
"25","Australia",2014,"VA0",38547,8278,29367,17353,902,323.1536,294.1586
"26","Australia",2015,"VA0",39685,8754,29957,17450,974,425.437,293.9868
"27","Australia",2016,"VA0",47868,9113,37692,24820,1063,400.9137,273.9763
"28","Australia",2017,"VA0",47987,9050,37796,25027,1141,437.8873,270.3434
"29","Austria",1995,"VA0",3812.27,363.71,4661.34,3406.85,-1212.77,39.192,671.171
"30","Austria",1996,"VA0",3618.82,369.62,4008.1,2740.36,-758.91,38.589,663.327
"31","Austria",1997,"VA0",3596.1,380.5,3840.63,2535.85,-625.03,39.008,658.417
"32","Austria",1998,"VA0",3521.17,382.03,3835.69,2498.36,-696.56,38.325,632.706
"33","Austria",1999,"VA0",3510.75,398.38,3857.08,2505.09,-744.71,39.831,620.278
"34","Austria",2000,"VA0",3518.74,405.12,3828.18,2451.9,-714.56,39.75,611.138
"35","Austria",2001,"VA0",3684.32,399.2,3979.47,2608.87,-694.35,40.399,591.903
"36","Austria",2002,"VA0",3543.36,415.81,4003.24,2605.82,-875.69,40.301,581.203
"37","Austria",2003,"VA0",3459.23,427.16,4058.84,2651.32,-1026.78,41.12,577.069
"38","Austria",2004,"VA0",3578.21,430.67,4261.39,2819.82,-1113.85,41.553,560.537
"39","Austria",2005,"VA0",3199.82,439.3,4453.44,2952.03,-1692.92,41.872,546.277
"40","Austria",2006,"VA0",3490.26,442.25,4671.13,3128.62,-1623.13,42.323,525.962
"41","Austria",2007,"VA0",4022.24,493.62,4999.29,3409.68,-1470.67,45.27,505.013
"42","Austria",2008,"VA0",3942.94,485.21,5046.86,3374.1,-1589.14,43.819,483.375
"43","Austria",2009,"VA0",3303.34,497.28,4549.52,2816.07,-1743.46,43.778,459.818
"44","Austria",2010,"VA0",3749.98,515.71,4912.34,3135.35,-1678.08,42.768,444.25
"45","Austria",2011,"VA0",4347.74,553.02,5407.89,3570.07,-1613.16,46.669,454.23
"46","Austria",2012,"VA0",4297.2,585.85,5426.48,3516.78,-1715.13,48.132,404.616
"47","Austria",2013,"VA0",4064.17,613.45,5151.83,3168.72,-1701.11,47.845,386.265
"48","Austria",2014,"VA0",4000.22,655.32,5010.08,2994.38,-1665.17,50.258,385.258
"49","Austria",2015,"VA0",3889.45,673.3,4390.09,2375.55,-1173.94,49.318,366.121
"50","Austria",2016,"VA0",3963.93,688.22,5193.37,3171.29,-1917.66,49.765,362.565
"51","Austria",2017,"VA0",4445.45,711.55,5300.45,3254.79,-1566.54,50.5,356.085
"52","Belgium",1999,"VA0",2608.4,241.4,2395.5,1774.7,-28.5,18.7512,150.0978
"53","Belgium",2000,"VA0",3015.9,243.8,2777.7,2154.7,-5.6,19.9767,147.8831
"54","Belgium",2001,"VA0",2933.4,258.9,2673.5,2071.4,1,19.9752,143.5783
"55","Belgium",2002,"VA0",2824,277.1,2541.7,1972.5,5.2,21.0043,142.0695
"56","Belgium",2003,"VA0",2895.7,293.5,2592.5,2002.6,9.7,22.5608,140.2337
"57","Belgium",2004,"VA0",3037,304.9,2739.1,2137.1,-7,23.2924,144.9173
"58","Belgium",2005,"VA0",2607,305.3,2592.1,1991.8,-290.4,23.3232,143.0155
"59","Belgium",2006,"VA0",2951,320,3075.3,2485.4,-444.3,23.9897,146.2233
"60","Belgium",2007,"VA0",3050.7,341.8,3164.8,2530.1,-455.9,24.6112,145.2428
"61","Belgium",2008,"VA0",2506.5,358.4,2607.5,1913.5,-459.4,25.5401,137.246
"62","Belgium",2009,"VA0",2265.2,392.5,2321.2,1638.9,-448.5,27.5457,127.2593
"63","Belgium",2010,"VA0",2783.6,410.7,2818,2085.9,-445.1,28.2456,119.3378
"64","Belgium",2011,"VA0",2441.1,454.5,2425.8,1626.4,-439.2,30.0632,113.7492
"65","Belgium",2012,"VA0",3040,482,3009.2,2134.2,-451.2,30.8131,106.4064
"66","Belgium",2013,"VA0",2699.2,500.1,2625.3,1696.9,-426.2,31.42,102.9034
"67","Belgium",2014,"VA0",2598.2,531.4,2617.5,1656,-550.7,32.4213,104.1952
"68","Belgium",2015,"VA0",2872.6,560.2,2864.6,1871.1,-552.2,34.2755,105.9775
"69","Belgium",2016,"VA0",2696.2,579.7,2577.9,1585.5,-461.4,34.8183,105.938
"70","Belgium",2017,"VA0",2907.8,609.8,2790.9,1785.4,-492.9,35.6363,106.3851
"71","Czechia",1995,"VA0",62863,28655,33558,21128,650,430.837,98.284
"72","Czechia",1996,"VA0",65840,32432,33004,19853,404,426.415,100.293
"73","Czechia",1997,"VA0",64956,34039,32087,18204,-1170,396.128,100.419
"74","Czechia",1998,"VA0",72911,35794,40026,25644,-2909,402.824,108.232
"75","Czechia",1999,"VA0",69999,33150,40997,26611,-4148,359.529,108.688
"76","Czechia",2000,"VA0",74124,33934,47633,32886,-7443,348.674,111.197
"77","Czechia",2001,"VA0",77204,34717,48778,33361,-6291,332.411,104.299
"78","Czechia",2002,"VA0",68730,32794,40695,25270,-4759,272.915,102.552
"79","Czechia",2003,"VA0",66401,32316,42734,26755,-8649,261.251,101.852
"80","Czechia",2004,"VA0",70590,34565,48582,32311,-12557,271.098,101.624
"81","Czechia",2005,"VA0",72222,33593,56506,40381,-17877,262.895,91.778
"82","Czechia",2006,"VA0",72815,35043,58038,41742,-20266,251.752,87.771
"83","Czechia",2007,"VA0",75412,36184,61157,44035,-21929,234.341,97.446
"84","Czechia",2008,"VA0",77867,37959,62561,45003,-22653,238.203,89.121
"85","Czechia",2009,"VA0",64549,35733,60127,41623,-31311,226.879,94.394
"86","Czechia",2010,"VA0",60210,33314,52321,33665,-25425,204.614,108.653
"87","Czechia",2011,"VA0",86632,34492,77198,57951,-25058,206.28,117.857
"88","Czechia",2012,"VA0",95396,36113,85291,65048,-26008,209.789,111
"89","Czechia",2013,"VA0",98504,37390,87792,67054,-26678,212.049,111.983
"90","Czechia",2014,"VA0",106720,38683,99826,77498,-31789,211.068,111.23
"91","Czechia",2015,"VA0",102390,38650,90128,67052,-26388,207.712,111.947
"92","Czechia",2016,"VA0",98456,39037,92751,68406,-33332,206.717,110.826
"93","Czechia",2017,"VA0",103862,41004,94323,68600,-31465,206.55,112.757
"94","Denmark",1966,"VA0",5513,1082,4314,3343,117,199.995,463.697
"95","Denmark",1967,"VA0",5228,1097,4002,2897,129,188.317,439.669
"96","Denmark",1968,"VA0",5474,1097,4242,3064,135,176.286,415.929
"97","Denmark",1969,"VA0",6499,1112,5251,4008,136,166.29,395.059
"98","Denmark",1970,"VA0",5897,1042,4681,3284,174,157.194,375.44
"99","Denmark",1971,"VA0",6460,1153,5115,3588,193,143.945,354.641
"100","Denmark",1972,"VA0",7727,1191,6346,4698,190,142.154,345.902
"101","Denmark",1973,"VA0",9809,1332,8271,6513,206,140.153,339.148
"102","Denmark",1974,"VA0",10736,1594,8982,6709,159,133.921,324.24
"103","Denmark",1975,"VA0",10266,1816,8204,5512,247,127.885,311.953
"104","Denmark",1976,"VA0",11579,2116,9274,6372,189,129.3,302.427
"105","Denmark",1977,"VA0",13938,2301,11428,8260,209,122.973,293.179
"106","Denmark",1978,"VA0",15675,2493,13028,9484,155,118.229,282.299
"107","Denmark",1979,"VA0",14709,2760,11874,7904,75,114.433,265.577
"108","Denmark",1980,"VA0",16333,3045,13306,9016,-17,107.565,253.515
"109","Denmark",1981,"VA0",19084,3306,16041,11290,-263,101.894,240.79
"110","Denmark",1982,"VA0",23420,3807,19978,14533,-366,101.92,231.653
"111","Denmark",1983,"VA0",22357,4315,18654,12886,-612,102.596,222.354
"112","Denmark",1984,"VA0",28485,4661,24355,18442,-531,100.705,215.207
"113","Denmark",1985,"VA0",28015,5019,23504,17101,-509,100.797,204.579
"114","Denmark",1986,"VA0",27631,5288,22765,16019,-422,98.116,197.995
"115","Denmark",1987,"VA0",25832,5727,20332,13417,-226,96.59,194.254
"116","Denmark",1988,"VA0",24595,5631,19582,12307,-618,85.769,178.357
"117","Denmark",1989,"VA0",28771,5861,23515,15636,-605,84.677,171.602
"118","Denmark",1990,"VA0",28125,5794,22904,14446,-573,79.685,164.559
"119","Denmark",1991,"VA0",26981,6082,21444,12598,-545,81.118,158.924
"120","Denmark",1992,"VA0",25769,6143,20465,11367,-839,76.394,156.035
"121","Denmark",1993,"VA0",24996,5803,19896,10554,-704,70.424,150.427
"122","Denmark",1994,"VA0",25835,5753,21359,11695,-1277,67.381,134.65
"123","Denmark",1995,"VA0",29559,5944,24676,14795,-1060,68.615,127.306
"124","Denmark",1996,"VA0",30385,5987,25664,15049,-1265,65.607,121.651
"125","Denmark",1997,"VA0",30225,6410,24857,13812,-1042,65.944,110.014
"126","Denmark",1998,"VA0",25435,6532,19671,8173,-769,64.935,109.874
"127","Denmark",1999,"VA0",24098,6384,18696,7291,-982,62.197,103.916
"128","Denmark",2000,"VA0",28553,6637,22973,11495,-1057,63.479,99.709
"129","Denmark",2001,"VA0",32087,6792,26420,14638,-1125,63.238,96.24
"130","Denmark",2002,"VA0",25119,7041,19462,7497,-1385,62.432,97.416
"131","Denmark",2003,"VA0",23143,7137,17732,5571,-1726,61.54,86.396
"132","Denmark",2004,"VA0",24435,7219,18913,6782,-1697,59.469,86.927
"133","Denmark",2005,"VA0",18170,7288,17359,4745,-6477,59.33,78.651
"134","Denmark",2006,"VA0",19602,7274,19893,6761,-7565,56.989,72.477
"135","Denmark",2007,"VA0",20421,7613,20381,6599,-7572,55.78,71.476
"136","Denmark",2008,"VA0",15453,8163,14348,322,-7058,58.331,63.073
"137","Denmark",2009,"VA0",14356,8192,13882,784,-7718,56.396,56.354
"138","Denmark",2010,"VA0",21766,8776,19635,6735,-6646,57.269,52.982
"139","Denmark",2011,"VA0",24233,8903,22155,9372,-6825,57.084,52.07
"140","Denmark",2012,"VA0",31357,9047,29189,16333,-6879,56.813,50.514
"141","Denmark",2013,"VA0",25127,9346,22876,10140,-7095,56.896,49.566
"142","Denmark",2014,"VA0",27389,9915,24896,12291,-7422,59.127,48.553
"143","Denmark",2015,"VA0",19500,10724,15413,2890,-6637,56.659,52.039
"144","Denmark",2016,"VA0",20926,10807,16153,3704,-6034,56.349,46.126
"145","Denmark",2017,"VA0",31077,10817,26134,13713,-5873,56.547,44.389
"146","Finland",1980,"VA0",2888,467,2564,1831,-143,135.8,603.7
"147","Finland",1981,"VA0",2917,537,2540,1718,-160,135.3,629.7
"148","Finland",1982,"VA0",3326,588,2963,2066,-225,133.1,624.1
"149","Finland",1983,"VA0",3613,586,3278,2275,-251,129.1,590.2
"150","Finland",1984,"VA0",3872,655,3509,2394,-292,132.4,570.9
"151","Finland",1985,"VA0",4006,689,3661,2526,-344,127.2,558.9
"152","Finland",1986,"VA0",4111,669,3793,2603,-351,115.1,531.3
"153","Finland",1987,"VA0",3576,687,3275,2038,-386,110.3,508.3
"154","Finland",1988,"VA0",3986,763,3947,2667,-724,116,495.6
"155","Finland",1989,"VA0",4484,779,4383,2997,-678,104.8,460.9
"156","Finland",1990,"VA0",4909,830,4796,3278,-717,102.3,419.9
"157","Finland",1991,"VA0",4193,824,4254,2749,-885,97.2,391
"158","Finland",1992,"VA0",3627,771,3802,2361,-946,87.4,381.8
"159","Finland",1993,"VA0",3748,711,3871,2480,-834,82.6,366.8
"160","Finland",1994,"VA0",3799,650,3900,2580,-751,79.2,354.4
"161","Finland",1995,"VA0",3742,661,4405,3234,-1324,76.7,332.9
"162","Finland",1996,"VA0",3521,627,3871,2736,-977,72.7,318.7
"163","Finland",1997,"VA0",3793,629,4127,2969,-963,68.9,305.2
"164","Finland",1998,"VA0",3493,654,3831,2683,-992,69,281.7
"165","Finland",1999,"VA0",3663,711,4007,2850,-1055,73.6,291
"166","Finland",2000,"VA0",4030,736,4480,3278,-1186,73.5,279.3
"167","Finland",2001,"VA0",3998,766,4428,3202,-1196,73.1,261.4
"168","Finland",2002,"VA0",3968,772,4431,3163,-1235,71.7,250.3
"169","Finland",2003,"VA0",3848,806,4276,2976,-1234,72.6,239.3
"170","Finland",2004,"VA0",3778,821,4160,2834,-1203,71.4,236.3
"171","Finland",2005,"VA0",3752,886,4211,2837,-1345,76,225.9
"172","Finland",2006,"VA0",3460,935,4319,2895,-1794,77.8,221.7
"173","Finland",2007,"VA0",4391,980,5209,3698,-1798,79.1,217.7
"174","Finland",2008,"VA0",4198,1003,5019,3473,-1824,78.6,207.5
"175","Finland",2009,"VA0",4028,1038,4864,3290,-1874,78.7,200.6
"176","Finland",2010,"VA0",4468,1125,5194,3634,-1851,80.9,192.9
"177","Finland",2011,"VA0",4649,1121,5330,3729,-1802,78.4,189.2
"178","Finland",2012,"VA0",4713,1163,5317,3654,-1767,78.6,185.2
"179","Finland",2013,"VA0",5222,1169,5809,4130,-1756,78.4,173.2
"180","Finland",2014,"VA0",4934,1175,5488,3833,-1729,76.6,172.5
"181","Finland",2015,"VA0",4665,1167,5106,3459,-1608,75.2,171.8
"182","Finland",2016,"VA0",5143,1131,5578,3928,-1566,73,157.4
"183","Finland",2017,"VA0",5318,1150,5714,4052,-1546,74.8,152.8
"184","France",1978,"VA0",14539,2621,12070,8624,-152,621.467,5040.73
"185","France",1979,"VA0",16460,2942,13473,9623,46,604.539,4929.451
"186","France",1980,"VA0",16297,3337,13004,8530,-45,572.14,4786.37
"187","France",1981,"VA0",18011,3630,14677,9591,-297,547.719,4579.382
"188","France",1982,"VA0",23748,4098,19777,13997,-127,512.305,4388.484
"189","France",1983,"VA0",23389,4364,19163,12966,-138,481.827,4239.284
"190","France",1984,"VA0",23749,4669,19321,12760,-241,461.847,4077.791
"191","France",1985,"VA0",25289,4783,20587,13828,-82,442.812,3795.343
"192","France",1986,"VA0",26349,4834,21688,14737,-174,425.81,3601.237
"193","France",1987,"VA0",26434,4834,21975,14908,-375,423.749,3447.473
"194","France",1988,"VA0",26363,5084,21323,14102,-44,429.391,3306.404
"195","France",1989,"VA0",31160,5422,25732,18282,6,415.091,3108.084
"196","France",1990,"VA0",33048,5790,27378,19770,-120,422.258,2889.713
"197","France",1991,"VA0",28541,5923,22656,14774,-38,428.502,2840.191
"198","France",1992,"VA0",29324,5961,23538,15627,-175,416.225,2653.56
"199","France",1993,"VA0",26220,5838,20678,12893,-296,429.571,2519.433
"200","France",1994,"VA0",28325,5630,23092,15323,-396,445.284,2364.353
"201","France",1995,"VA0",29784,5839,24202,16494,-257,446.578,2235.318
"202","France",1996,"VA0",30108,5899,24560,16750,-351,458.884,2168.35
"203","France",1997,"VA0",30306,6166,24445,16511,-305,468.418,2139.318
"204","France",1998,"VA0",31938,6183,25942,17857,-187,472.124,2062.481
"205","France",1999,"VA0",31330,6105,25457,17188,-232,489.123,1939.033
"206","France",2000,"VA0",31026,6207,25053,16320,-234,491.942,1979.557
"207","France",2001,"VA0",32410,6571,26291,17184,-452,486.271,1899.166
"208","France",2002,"VA0",31929,6959,25634,16379,-664,468.268,1765.004
"209","France",2003,"VA0",30170,7428,24200,14772,-1458,464.496,1722.554
"210","France",2004,"VA0",31059,7741,23806,14060,-488,479.312,1684.789
"211","France",2005,"VA0",29669,8020,22892,12767,-1242,483.101,1657.962
"212","France",2006,"VA0",28064,8275,25943,15591,-6154,477.952,1633.985
"213","France",2007,"VA0",31314,8262,29133,18456,-6082,475.492,1581.02
"214","France",2008,"VA0",30189,8263,28123,16898,-6196,472.882,1475.992
"215","France",2009,"VA0",25622,8100,23521,12129,-5999,453.864,1465.833
"216","France",2010,"VA0",32005,8401,31062,19700,-7459,451.733,1435.561
"217","France",2011,"VA0",33969,8549,32801,21066,-7381,453.372,1388.997
"218","France",2012,"VA0",34085,9004,32014,19861,-6933,458.291,1365.145
"219","France",2013,"VA0",30882,9488,27936,15598,-6543,461.239,1333.769
"220","France",2014,"VA0",33458,9642,30629,18328,-6813,460.091,1296.602
"221","France",2015,"VA0",35299,9746,32512,20329,-6960,459.256,1264.558
"222","France",2016,"VA0",32323,9859,28997,16919,-6533,466.326,1247.602
"223","Germany",1995,"VA0",17975,6904,13462,7129,-2391,532,1290
"224","Germany",1996,"VA0",19119,6688,15015,8552,-2584,503,1147
"225","Germany",1997,"VA0",19336,6570,14973,8391,-2207,492,1101
"226","Germany",1998,"VA0",18801,6588,13980,7289,-1767,491,1065
"227","Germany",1999,"VA0",18850,6758,13635,6843,-1543,486,1061
"228","Germany",2000,"VA0",20174,6796,14962,8049,-1584,478,1010
"229","Germany",2001,"VA0",22656,6240,18322,11296,-1906,445,961
"230","Germany",2002,"VA0",18909,6089,14646,7537,-1826,435,908
"231","Germany",2003,"VA0",17384,6028,13222,6080,-1866,426,872
"232","Germany",2004,"VA0",20618,6005,16507,9294,-1894,429,832
"233","Germany",2005,"VA0",15798,5677,15688,8332,-5567,421,791
"234","Germany",2006,"VA0",16891,5621,18621,11049,-7351,421,744
"235","Germany",2007,"VA0",18667,5821,19219,11265,-6373,432,739
"236","Germany",2008,"VA0",20615,5925,21185,12836,-6495,433,752
"237","Germany",2009,"VA0",16248,6048,16715,8038,-6515,430,727
"238","Germany",2010,"VA0",16700,6095,17013,8211,-6408,429,719
"239","Germany",2011,"VA0",19967,6613,19672,10638,-6318,440,708
"240","Germany",2012,"VA0",19388,6789,18538,9277,-5939,444,675
"241","Germany",2013,"VA0",24840,7102,23466,14018,-5728,445,619
"242","Germany",2014,"VA0",25683,7417,24066,14387,-5800,454,608
"243","Germany",2015,"VA0",19901,7687,17440,7653,-5226,464,579
"244","Germany",2016,"VA0",21054,7940,19033,9140,-5919,456,552
"245","Germany",2017,"VA0",25472,8062,23046,13007,-5636,457,533
"246","Hungary",2010,"VA0",813139,262652,875544,602465,-325057,219.059,309.611
"247","Hungary",2011,"VA0",1105650,286923,1235845,955652,-417118,214.075,288.781
"248","Hungary",2012,"VA0",1106769,310913,1218221,929532,-422365,212.248,312.189
"249","Hungary",2013,"VA0",1164966,325835,1300259,1007602,-461128,203.193,307.775
"250","Hungary",2014,"VA0",1292673,363513,1421647,1118536,-492487,205.581,312.999
"251","Hungary",2015,"VA0",1286248,325837,1448175,1136688,-487764,206.696,294.391
"252","Hungary",2016,"VA0",1373585,341732,1427001,1114856,-395148,207.116,285.93
"253","Hungary",2017,"VA0",1439989,366581,1525096,1203425,-451688,203.693,286.719
"254","Italy",1995,"VA0",29170.6,6889.1,22812.5,15192.5,-531,843.875,2340.6022
"255","Italy",1996,"VA0",30826.8,6767.5,24365.6,16409.7,-306.2,804.2017,2341.961
"256","Italy",1997,"VA0",30930.8,6683.1,24580.4,16355.8,-332.7,795.9948,2352.8647
"257","Italy",1998,"VA0",31274.3,6463.3,24742.2,16257.4,68.8,786.4909,2291.7639
"258","Italy",1999,"VA0",31787.3,6412.3,25763.5,17091.1,-388.5,773.2307,2184.6616
"259","Italy",2000,"VA0",31630.3,6475.4,25769.4,16665.7,-614.4,749.8564,1999.953
"260","Italy",2001,"VA0",32267.2,6816.5,26516.5,17033,-1065.8,781.9733,2050.123
"261","Italy",2002,"VA0",31817.7,6838.4,26404.4,16508.7,-1425.1,741.8515,2036.0613
"262","Italy",2003,"VA0",32682,6429.1,27125.3,16957.7,-872.4,683.6086,2041.278
"263","Italy",2004,"VA0",33962.9,6755.8,27759.5,17120.2,-552.4,718.9782,2056.1674
"264","Italy",2005,"VA0",30226.6,7471.2,24076.2,12965,-1320.8,774.7813,1939.5138
"265","Italy",2006,"VA0",30036.8,7831,24327.2,12726.4,-2121.5,795.5536,1949.1377
"266","Italy",2007,"VA0",30432.3,7859.6,24350.2,12217.6,-1777.5,772.0106,1937.9315
"267","Italy",2008,"VA0",30471.4,7661,24857.8,12217.5,-2047.4,762.8453,1826.4302
"268","Italy",2009,"VA0",28149.6,7702.9,24591.8,11753.3,-4145.1,725.7348,1809.3755
"269","Italy",2010,"VA0",28416.7,8041.1,23074,9940.6,-2698.4,743.0463,1761.4764
"270","Italy",2011,"VA0",30880.2,8259.8,25923,12369.2,-3302.7,760.0674,1656.5592
"271","Italy",2012,"VA0",31697.9,8283.1,26891.1,13216.1,-3476.3,746.7834,1571.5526
"272","Italy",2013,"VA0",33614.2,8103.4,29654.7,16166.5,-4143.9,729.4754,1568.3451
"273","Italy",2014,"VA0",31476.7,8421.8,27960.6,14568.8,-4905.8,741.7883,1605.3925
"274","Italy",2015,"VA0",33364.6,8782.5,27350.7,14063.2,-2768.6,752.9796,1623.513
"275","Italy",2016,"VA0",31802.6,8948,27298.3,14277,-4443.7,787.857,1636.1595
"276","Italy",2017,"VA0",32979.4,9140.6,27455.7,14349,-3616.9,799.6266,1581.9733
"277","Luxembourg",1995,"VA0",143.997,17.848,146.649,81.907,-20.501,1.2926,7.1027
"278","Luxembourg",1996,"VA0",135.382,17.298,150.115,84.948,-32.032,1.1828,6.6663
"279","Luxembourg",1997,"VA0",129.496,16.584,146.453,80.715,-33.541,1.1018,6.2798
"280","Luxembourg",1998,"VA0",146.36,16.419,158.674,91.996,-28.732,1.0557,6.0999
"281","Luxembourg",1999,"VA0",150.838,17.848,161.906,94.53,-28.915,1.0937,6.0517
"282","Luxembourg",2000,"VA0",143.758,20.972,153.944,85.38,-31.158,1.1847,5.5964
"283","Luxembourg",2001,"VA0",141.594,21.719,150.668,80.946,-30.794,1.1955,5.037
"284","Luxembourg",2002,"VA0",180.706,21.67,192.042,121.346,-33.006,1.1445,4.8958
"285","Luxembourg",2003,"VA0",131.777,22.324,144.937,73.679,-35.483,1.1353,4.6894
"286","Luxembourg",2004,"VA0",154.818,16.626,169.96,95.243,-31.769,0.823,4.5834
"287","Luxembourg",2005,"VA0",106.725,24.52,148.278,70.835,-66.073,0.8251,1.6015
"288","Luxembourg",2006,"VA0",114.933,26.688,157.857,80.639,-69.612,0.9111,1.7795
"289","Luxembourg",2007,"VA0",152.011,28.145,195.731,115.235,-71.864,0.9547,1.775
"290","Luxembourg",2008,"VA0",119.051,29.301,160.291,77.151,-70.541,0.9396,1.683
"291","Luxembourg",2009,"VA0",93.653,30.63,131.128,45.807,-68.105,0.914,1.9048
"292","Luxembourg",2010,"VA0",99.329,33.615,134.883,47.365,-69.17,0.9827,1.8537
"293","Luxembourg",2011,"VA0",108.926,35.789,152.851,60.597,-79.714,1.0485,1.7902
"294","Luxembourg",2012,"VA0",158.512,38.08,193.188,98.485,-72.756,1.0834,1.7358
"295","Luxembourg",2013,"VA0",128.75,38.354,154.741,57.871,-64.346,1.0542,1.6826
"296","Luxembourg",2014,"VA0",145.071,41.494,168.06,64.058,-64.483,1.1188,1.6
"297","Luxembourg",2015,"VA0",118.521,42.436,149.506,39.299,-73.421,1.1428,1.5579
"298","Luxembourg",2016,"VA0",119.435,43.876,140.331,28.344,-64.772,1.1813,1.5466
"299","Luxembourg",2017,"VA0",146.453,47.068,164.738,48.238,-65.353,1.2396,1.5283
"300","Netherlands",1995,"VA0",10230,1831,8498,6282,-99,126.927,301.897
"301","Netherlands",1996,"VA0",9916,1896,8290,6039,-270,127.958,309.411
"302","Netherlands",1997,"VA0",10953,1953,9155,6878,-155,129.742,307.601
"303","Netherlands",1998,"VA0",10082,2033,8223,5913,-174,134.252,267.963
"304","Netherlands",1999,"VA0",9772,2175,7980,5609,-383,139.945,290.635
"305","Netherlands",2000,"VA0",10390,2302,8271,5764,-183,139.653,325.81
"306","Netherlands",2001,"VA0",10720,2415,8523,5885,-218,144.713,303.383
"307","Netherlands",2002,"VA0",10412,2573,7890,5139,-51,145.517,298.832
"308","Netherlands",2003,"VA0",10563,2594,8213,5418,-244,141.368,278.949
"309","Netherlands",2004,"VA0",9878,2547,7564,4716,-233,139.446,277.357
"310","Netherlands",2005,"VA0",10235,2518,7875,4972,-158,138.011,272.609
"311","Netherlands",2006,"VA0",11375,2563,9250,6290,-438,138.429,261.538
"312","Netherlands",2007,"VA0",11251,2695,9185,6121,-629,140.51,253.897
"313","Netherlands",2008,"VA0",10582,2773,8517,5302,-708,138.352,254.003
"314","Netherlands",2009,"VA0",9705,2798,7575,4216,-668,139.764,249.582
"315","Netherlands",2010,"VA0",11368,2851,9214,5746,-697,136.47,246.61
"316","Netherlands",2011,"VA0",10269,2926,8165,4622,-822,136.917,243.541
"317","Netherlands",2012,"VA0",10836,2996,8630,4957,-790,135.482,239.013
"318","Netherlands",2013,"VA0",11828,3046,9647,5814,-865,137.401,235.594
"319","Netherlands",2014,"VA0",11674,3054,9388,5454,-768,136.641,239.611
"320","Netherlands",2015,"VA0",11898,3038,9586,5556,-726,133.979,238.041
"321","Netherlands",2016,"VA0",12513,3125,9935,5818,-547,137.719,237.56
"322","Netherlands",2017,"VA0",13666,3255,10974,6829,-563,140.502,237.953
"323","New Zealand",2013,"VA0",16374,3409,12239,10286,726,175.24,120.588
"324","New Zealand",2014,"VA0",11592,3623,7197,5200,771,171.756,118.404
"325","New Zealand",2015,"VA0",11414,3822,6777,4717,816,184.834,113.9372
"326","Poland",2000,"VA0",23113,6015,17330,9274,-232,446.0924,4847.769
"327","Poland",2001,"VA0",25122,6478,18590,10201,54,435.122,4909.866
"328","Poland",2002,"VA0",21839,5842,15742,7039,255,446.08,4779.5404
"329","Poland",2003,"VA0",21836,5834,15517,6455,485,442.1498,4535.233
"330","Poland",2004,"VA0",30479,6037,24704,15263,-262,442.4514,4465.3401
"331","Poland",2005,"VA0",28703,6480,25293,15581,-3070,427.4767,4378.6132
"332","Poland",2006,"VA0",28558,6708,28372,18487,-6522,411.0024,4088.6039
"333","Poland",2007,"VA0",35705,7679,32735,22377,-4709,424.7024,3898.8378
"334","Poland",2008,"VA0",32614,8159,33225,22498,-8770,456.8212,3892.9844
"335","Poland",2009,"VA0",34101,8706,33425,22778,-8030,417.5568,3714.9462
"336","Poland",2010,"VA0",37085,8481,36570,25995,-7966,427.6721,3462.7509
"337","Poland",2011,"VA0",44371,9612,44133,33294,-9374,433.9128,3466.6669
"338","Poland",2012,"VA0",43413,10518,41411,30292,-8516,425.4113,3438.7364
